Temperature,Heartbeat Rate,Steps Taken,Health Status
39.11,106,3602,0
38.5,103,2606,0
40.15,91,3118,0
39.03,77,3245,0
39.31,83,3697,0
38.57,94,3416,0
38.96,113,2413,0
37.92,87,2966,0
38.73,103,2832,0
38.68,93,4084,0
38.32,85,3292,0
38.53,94,3650,0
38.68,64,3529,0
39.51,111,3576,0
37.57,73,2877,0
38.37,89,4329,0
38.18,83,2574,0
38.37,114,3600,0
40.26,109,3999,0
39.03,91,2956,0
37.94,75,2922,0
38.51,79,2993,0
37.63,70,2687,0
37.68,84,2635,0
38.68,81,2400,0
38.3,79,4142,0
38.55,97,2511,0
38.25,101,2967,0
38.31,86,2901,0
38.44,113,4217,0
38.32,99,3225,0
38.97,119,3352,0
39.51,77,2981,0
36.99,75,2447,0
37.53,83,2822,0
38.58,48,2703,0
38.46,108,3036,0
37.77,59,2138,0
37.18,96,2014,0
39.03,109,3770,0
39.19,107,3038,0
38.66,70,2885,0
39.06,86,3265,0
39.17,85,2249,0
37.95,100,3376,0
39.35,112,3594,0
37.88,85,1924,0
39.28,84,3335,0
38.5,71,2727,0
38.57,115,2687,0
39.65,87,2990,0
40.29,89,3083,0
37.64,60,2533,0
37.68,91,3110,0
37.59,77,2618,0
39.66,84,3086,0
38.8,89,3215,0
39.36,100,3518,0
38.9,95,4127,0
37.93,84,3659,0
38.58,87,2521,0
38.87,83,2430,0
38.24,78,3419,0
38.36,84,2203,0
36.91,59,2308,0
37.95,73,2376,0
37.84,65,3204,0
37.51,85,2359,0
38.66,126,2980,0
38.39,74,1545,0
39.51,145,2899,0
38.08,74,2625,0
38.46,80,2603,0
38.13,91,2556,0
38.44,108,3861,0
38.95,112,3190,0
38.18,66,2586,0
37.97,106,3061,0
38.7,97,2837,0
38.3,83,2753,0
38.8,97,2454,0
38.18,80,2293,0
37.11,85,2411,0
38.12,93,2869,0
39.1,95,2966,0
39.05,83,2758,0
38.31,118,3589,0
39.41,118,3340,0
39.22,72,3154,0
37.73,72,2870,0
39.19,98,2883,0
38.05,97,2259,0
38.33,71,2900,0
38.01,86,2771,0
38.73,105,3490,0
38.92,96,2300,0
39.06,76,2932,0
37.93,71,2703,0
38.84,81,2860,0
39.07,76,2506,0
38.53,69,2901,0
38.42,81,3597,0
38.58,81,3210,0
38.62,100,4248,0
39.82,109,3230,0
38.89,101,4008,0
39.4,88,3353,0
38.9,98,2674,0
38.47,95,2610,0
38.56,75,2597,0
38.45,63,2385,0
38.96,96,2449,0
39.32,88,2677,0
37.66,91,2196,0
38.77,100,2867,0
38.08,90,3146,0
37.17,73,3089,0
37.85,82,3310,0
39.88,87,2952,0
37.99,58,3460,0
39.96,94,3599,0
38.41,88,2877,0
38.11,100,2698,0
38.37,60,2761,0
38.3,114,3441,0
38.99,85,3402,0
37.7,74,2466,0
38.66,88,2904,0
38.0,70,2600,0
38.06,77,2589,0
38.57,96,3574,0
38.25,81,2208,0
38.58,75,2675,0
38.34,114,3362,0
37.74,105,2735,0
38.34,87,3241,0
37.6,70,2595,0
37.89,82,3632,0
38.02,81,3269,0
39.66,95,3242,0
38.53,91,2970,0
38.61,120,3466,0
38.04,120,3333,0
37.87,117,3574,0
39.22,114,2815,0
38.61,86,3465,0
37.52,86,3009,0
36.82,81,2400,0
36.88,89,2663,0
39.01,87,2485,0
38.72,73,2406,0
38.21,105,2756,0
38.58,97,1906,0
39.4,83,2379,0
38.44,87,3562,0
38.49,103,3347,0
38.51,95,3042,0
38.75,97,3122,0
38.42,109,3265,0
39.26,79,2297,0
39.44,118,4042,0
39.18,102,3494,0
39.45,107,3691,0
38.12,96,3036,0
38.6,116,2817,0
38.77,82,3144,0
37.47,101,2473,0
39.31,92,3495,0
38.65,82,2948,0
39.02,86,3542,0
38.75,98,3003,0
38.6,83,3027,0
39.14,116,2377,0
37.14,101,2145,0
38.7,107,3047,0
39.29,100,3129,0
39.37,106,3187,0
38.27,85,3686,0
39.05,92,3075,0
38.43,79,3504,0
38.31,103,3185,0
38.29,90,3484,0
37.13,76,2836,0
38.53,73,3085,0
39.34,77,3554,0
39.1,92,3385,0
39.08,107,2776,0
38.81,76,2160,0
37.75,110,2779,0
39.22,104,3020,0
38.85,100,2671,0
37.82,93,2410,0
38.49,91,2807,0
41.0,120,3636,0
37.44,95,2193,0
38.13,75,3549,0
40.01,107,3064,0
39.03,111,3746,0
37.13,68,2963,0
38.14,109,3254,0
37.95,93,3185,0
39.08,86,2456,0
40.34,100,3641,0
37.94,98,3146,0
38.78,117,2916,0
38.7,97,3176,0
38.8,65,2378,0
38.4,101,2922,0
37.44,84,2128,0
39.26,98,3170,0
37.61,94,3458,0
36.6,60,1628,0
37.54,99,2139,0
38.77,84,2762,0
39.56,117,3592,0
39.07,98,3433,0
39.49,80,3704,0
40.21,94,2582,0
37.88,81,2084,0
39.33,114,3959,0
38.08,95,2019,0
37.35,93,2504,0
38.64,95,2624,0
39.54,98,3086,0
37.65,96,3732,0
37.3,77,2316,0
39.35,88,2987,0
38.55,99,2444,0
38.42,69,3253,0
38.51,96,2709,0
37.49,73,2261,0
39.36,90,3864,0
38.27,117,2934,0
39.42,87,3609,0
37.81,72,2359,0
37.69,90,2632,0
39.02,63,2370,0
38.16,112,2210,0
39.93,102,2964,0
38.63,91,2784,0
